[01:00:55] [Server thread/ERROR] (ringworld) [worldgen-matrix] seam undecorated base=Report[largestDelta=49, cliffColumns=12, longestCliffRun=7, averageAbsoluteDelta=2.182926829268293, passes=true]
[01:00:57] [Server thread/ERROR] (ringworld) [worldgen-matrix] reference base cut=-32 report=Report[largestDelta=39, cliffColumns=9, longestCliffRun=9, averageAbsoluteDelta=1.6178861788617886, passes=true]
[01:00:59] [Server thread/ERROR] (ringworld) [worldgen-matrix] reference base cut=-16 report=Report[largestDelta=2, cliffColumns=0, longestCliffRun=0, averageAbsoluteDelta=0.14227642276422764, passes=true]
[01:01:01] [Server thread/ERROR] (ringworld) [worldgen-matrix] reference base cut=-8 report=Report[largestDelta=19, cliffColumns=2, longestCliffRun=2, averageAbsoluteDelta=0.42276422764227645, passes=true]
[01:01:03] [Server thread/ERROR] (ringworld) [worldgen-matrix] reference base cut=-4 report=Report[largestDelta=11, cliffColumns=0, longestCliffRun=0, averageAbsoluteDelta=0.5894308943089431, passes=true]
[01:01:05] [Server thread/ERROR] (ringworld) [worldgen-matrix] reference base cut=4 report=Report[largestDelta=18, cliffColumns=2, longestCliffRun=1, averageAbsoluteDelta=0.32926829268292684, passes=true]
[01:01:07] [Server thread/ERROR] (ringworld) [worldgen-matrix] reference base cut=8 report=Report[largestDelta=46, cliffColumns=9, longestCliffRun=4, averageAbsoluteDelta=1.2682926829268293, passes=true]
[01:01:08] [Server thread/ERROR] (ringworld) [worldgen-matrix] reference base cut=16 report=Report[largestDelta=19, cliffColumns=2, longestCliffRun=1, averageAbsoluteDelta=0.2886178861788618, passes=true]
[01:01:10] [Server thread/ERROR] (ringworld) [worldgen-matrix] reference base cut=32 report=Report[largestDelta=73, cliffColumns=11, longestCliffRun=5, averageAbsoluteDelta=2.0569105691056913, passes=true]
[01:01:12] [Server thread/ERROR] (ringworld) [worldgen-matrix] reference base cut=1024 report=Report[largestDelta=35, cliffColumns=1, longestCliffRun=1, averageAbsoluteDelta=0.45934959349593496, passes=true]
[01:01:14] [Server thread/ERROR] (ringworld) [worldgen-matrix] reference base cut=4096 report=Report[largestDelta=13, cliffColumns=1, longestCliffRun=1, averageAbsoluteDelta=0.32113821138211385, passes=true]
[01:01:14] [Server thread/ERROR] (ringworld) [worldgen-matrix] seam neighbours before=Report[largestDelta=32, cliffColumns=2, longestCliffRun=1, averageAbsoluteDelta=0.5975609756097561, passes=true] after=Report[largestDelta=43, cliffColumns=4, longestCliffRun=2, averageAbsoluteDelta=1.024390243902439, passes=true]
java.lang.IllegalStateException: Terrain join is not smooth under the current mapping: Report[largestDelta=49, cliffColumns=13, longestCliffRun=7, averageAbsoluteDelta=2.508130081300813, passes=true]
